"Keyword","Impressions","Clicks","CTR","Avg. Position"
"speed test","63530","46","0.07%","7.620492328034"
"wifi speed test","27895","39","0.14%","7.40283353647607"
"internet speed test","10855","7","0.06%","7.3166537540304"
"wifispeed","3596","6","0.17%","7.0433739432703"
"data speed test","3233","1","0.03%","7.49984695329416"
"internet speed","3054","1","0.03%","8.1951643745907"
"run speed test","2623","1","0.04%","7.80861288600839"
"speed test wifi","2279","5","0.22%","7.39051759543659"
"my fiber speed test","1801","3","0.17%","7.35757434758467"
"spped test","1701","0","0%","7.67254597295708"
"fiber speed test","1363","4","0.29%","7.15259867938371"
"wifi test","1287","5","0.39%","6.88811111111111"
"wifi speed check","1028","2","0.19%","7.32977227626459"
"mbps test","987","0","0%","6.13272259371834"
"net speed","951","7","0.74%","6.19557423764459"
"net speed test","929","1","0.11%","6.68246307857912"
"free internet speed test","706","0","0%","8.96458824362606"
"check internet speed","667","3","0.45%","7.14994002998501"
"internet speed check","609","1","0.16%","7.96222807881773"
"test speed","562","0","0%","6.69931459074733"
"internet test","560","2","0.36%","7.05892964285714"
"my internet speed","556","1","0.18%","8.52700053956835"
"speed test internet","552","1","0.18%","6.92391811594203"
"network speed test","447","0","0%","8.28636286353468"
"speed test fast","431","2","0.46%","6.37587378190255"
"test my speed","413","1","0.24%","7.34140920096852"
"wifi speed test online","370","1","0.27%","6.97297324324324"
"speed test online","271","2","0.74%","7.12176383763838"
"internet speed test right now","230","0","0%","6.6696052173913"
"check wifi speed","228","0","0%","7.1228"
"check my internet speed","223","1","0.45%","8.26458744394619"
"speed check","220","0","0%","6.42726818181818"
"net speed test online","204","1","0.49%","6.85294558823529"
"internet speed test free","195","1","0.51%","7.96923128205128"
"my speed test","189","0","0%","6.47618624338624"
"test my internet speed","172","0","0%","7.36628313953488"
"wifi test speed","149","0","0%","7.90604429530201"
"check internet speed test","116","0","0%","7.7068974137931"
"fast.com test","107","0","0%","9.4486046728972"
"my wifi speed","102","0","0%","7.00001764705882"
"speed","94","0","0%","6.53188510638298"
"test wifi speed","92","3","3.26%","7.56519782608696"
"fast.com internet speed test","82","0","0%","7.65855731707317"
"check internet speed test free","73","1","1.37%","8.15068219178082"
"test internet speed","67","1","1.49%","7.17909402985075"
"spedtest","64","0","0%","7.250003125"
"run internet speed test","63","1","1.59%","6.28570634920635"
"internet speed checker","61","0","0%","7.44263278688525"
"test wifi","56","0","0%","7.16073035714286"
"speed tes","54","0","0%","7.55556851851852"
"wifi speed checker","54","0","0%","8.33333148148148"
"free wifi speed test","54","3","5.56%","7.53703518518519"
"my internet speed test","54","0","0%","5.22222592592593"
"wifi checker","52","0","0%","8.69231346153846"
"test speed internet","50","0","0%","5.559992"
"speed test\","50","0","0%","8.3"
"bandwidth test","43","0","0%","6.81394651162791"
"speet test","43","0","0%","6.25582325581395"
"speetest","41","0","0%","7.68292926829268"
"speeed test","40","0","0%","8.69999"
"internet spped test","40","0","0%","7.5749925"
"speed tester","37","0","0%","7.2161972972973"
"internet connection speed test","32","0","0%","8.50001875"
"online speed test","31","0","0%","6.61290322580645"
"check my speed","31","0","0%","8.6774064516129"
"speed test'","30","0","0%","9.46666"
"wifi speed test free","30","0","0%","8.93333333333333"
"spped onile test","30","0","0%","9"
"fast internet speed test","30","0","0%","6.16665333333333"
"speed test run","28","1","3.57%","6.49998214285714"
"test internet","27","0","0%","6.66666296296296"
"check wifi speed test free","26","0","0%","8.80769615384615"
"fiber test","26","0","0%","7.53846923076923"
"online net speed test","24","0","0%","6.87499166666667"
"internet test speed","24","0","0%","7.4166625"
"test speed wifi","23","0","0%","6.82606086956522"
"speeds test","22","0","0%","4.99999090909091"
"speed tst","21","0","0%","6.71426666666667"
"speed tets","21","0","0%","6.6667"
"internet speed test fast","21","0","0%","7.19049523809524"
"check network speed","20","0","0%","7.799975"
"test my current internet speed","19","1","5.26%","9.05263157894737"
"speedtest.net free","18","0","0%","8.77777777777778"
"fast.com","18","0","0%","9.3333"
"fast speed test","17","0","0%","9.35296470588235"
"internet spped","16","0","0%","7.5625"
"fast.com speed","16","0","0%","9.5"
"speed testt","16","0","0%","5.62498125"
"broadband speed test","15","1","6.67%","6"
"wificheck","15","0","0%","14.2"
"++speed tast","15","0","0%","6"
